seq,request_total,request_was_590,request_was_plscore,request_was_verified,percetage_request_was_590,percetage_request_was_plscore,percetage_request_was_verified,uq_user
2021-06-01 00:00:00,1,0,0,0,0,0,0,0
2021-06-08 00:00:00,1,0,0,0,0,0,0,0
2021-06-15 00:00:00,1,0,0,0,0,0,0,0
2021-06-22 00:00:00,1,0,0,0,0,0,0,0
2021-06-29 00:00:00,1,0,0,0,0,0,0,0
2021-07-06 00:00:00,1,0,0,0,0,0,0,0
2021-07-13 00:00:00,1,0,0,0,0,0,0,0
2021-07-20 00:00:00,1,0,0,0,0,0,0,0
2021-07-27 00:00:00,1,0,0,0,0,0,0,0
2021-08-03 00:00:00,1,0,0,0,0,0,0,0
2021-08-10 00:00:00,1,0,0,0,0,0,0,0
